,FB ID,Gene Symbol
797,FBgn0004618,gl
798,FBgn0004619,GluRIA
799,FBgn0004620,GluRIIA
800,FBgn0004622,TkR99D
801,FBgn0004623,Gbeta76C
802,FBgn0004629,Cys
803,FBgn0004635,rho
804,FBgn0004636,Rap1
805,FBgn0004638,drk
806,FBgn0004643,Zw10
807,FBgn0004644,hh
808,FBgn0004646,ogre
809,FBgn0004647,N
810,FBgn0004648,svr
811,FBgn0004649,yl
812,FBgn0004650,fs(1)N
813,FBgn0004652,fru
814,FBgn0004654,Pgd
815,FBgn0004655,wapl
816,FBgn0004656,fs(1)h
817,FBgn0004657,mys
818,FBgn0004666,sim
819,FBgn0004687,Mlc-c
820,FBgn0004698,Xpc
821,FBgn0004777,Ccp84Ag
822,FBgn0004780,Ccp84Ad
823,FBgn0004781,Ccp84Ac
824,FBgn0004782,Ccp84Ab
825,FBgn0004783,Ccp84Aa
826,FBgn0004784,inaC
827,FBgn0004795,retn
828,FBgn0004797,mdy
829,FBgn0004811,fs(2)ltoPP43
830,FBgn0004828,His3.3B
831,FBgn0004832,Xpac
832,FBgn0004837,Su(H)
833,FBgn0004838,Hrb27C
834,FBgn0004839,otk
835,FBgn0004841,TkR86C
836,FBgn0004842,RYa-R
837,FBgn0004852,Ac76E
838,FBgn0004854,B-H2
839,FBgn0004855,Polr2I
840,FBgn0004856,Bx42
841,FBgn0004858,elB
842,FBgn0004859,ci
843,FBgn0004860,ph-d
844,FBgn0004861,ph-p
845,FBgn0004862,bap
846,FBgn0004863,C15
847,FBgn0004864,hop
848,FBgn0004865,Eip78C
849,FBgn0004867,RpS2
850,FBgn0004868,Gdi
851,FBgn0004870,bab1
852,FBgn0004872,piwi
853,FBgn0004875,enc
854,FBgn0004876,cdi
855,FBgn0004878,cas
856,FBgn0004880,scrt
857,FBgn0004882,orb
858,FBgn0004885,tok
859,FBgn0004888,Scsalpha1
860,FBgn0004889,tws
861,FBgn0004892,sob
862,FBgn0004893,bowl
863,FBgn0004895,FoxL1
864,FBgn0004896,fd59A
865,FBgn0004897,fd96Ca
866,FBgn0004898,fd96Cb
867,FBgn0004901,Prat
868,FBgn0004903,Rb97D
869,FBgn0004907,14-3-3zeta
870,FBgn0004908,Arl2
871,FBgn0004910,Eip63F-1
872,FBgn0004911,asRNA:Eig63F-2
873,FBgn0004913,Gnf1
874,FBgn0004914,Hnf4
875,FBgn0004915,TfIIB
876,FBgn0004919,gol
877,FBgn0004921,Ggamma1
878,FBgn0004924,Top1
879,FBgn0004926,eIF2beta
880,FBgn0004956,upd1
881,FBgn0004957,por
882,FBgn0004959,phtm
883,FBgn0005198,gig
884,FBgn0005278,Sam-S
885,FBgn0005322,nmd
886,FBgn0005355,Su(fu)
887,FBgn0005386,ash1
888,FBgn0005390,fs(1)M3
889,FBgn0005391,Yp2
890,FBgn0005411,U2af50
891,FBgn0005427,ewg
892,FBgn0005533,RpS17
893,FBgn0005536,Mbs
894,FBgn0005558,ey
895,FBgn0005561,sv
896,FBgn0005564,Shal
897,FBgn0005585,Calr
898,FBgn0005586,Rab3
899,FBgn0005590,scw
900,FBgn0005593,RpL7
901,FBgn0005596,yem
902,FBgn0005612,Sox14
903,FBgn0005613,Sox15
904,FBgn0005614,trpl
905,FBgn0005616,msl-2
906,FBgn0005617,msl-1
907,FBgn0005619,Hdc
908,FBgn0005624,Psc
909,FBgn0005626,ple
910,FBgn0005631,robo1
911,FBgn0005632,faf
912,FBgn0005633,fln
913,FBgn0005636,nvy
914,FBgn0005638,slbo
915,FBgn0005640,Eip63E
916,FBgn0005642,wdn
917,FBgn0005648,Pabp2
918,FBgn0005649,Rox8
919,FBgn0005654,Orc3
920,FBgn0005655,PCNA
921,FBgn0005658,Ets65A
922,FBgn0005659,Ets98B
923,FBgn0005660,Ets21C
924,FBgn0005664,Crys
925,FBgn0005666,bt
926,FBgn0005670,Cyp4d1
927,FBgn0005671,Vha55
928,FBgn0005672,spi
929,FBgn0005674,GluProRS
930,FBgn0005677,dac
931,FBgn0005683,pie
932,FBgn0005694,Aef1
933,FBgn0005695,gcl
934,FBgn0005696,PolA2
935,FBgn0005771,noc
936,FBgn0005775,Con
937,FBgn0005777,PpD3
938,FBgn0005778,PpD5
939,FBgn0005779,PpD6
940,FBgn0008635,betaCOP
941,FBgn0008636,hbn
942,FBgn0008646,E5
943,FBgn0008651,lbl
944,FBgn0010014,CanB
945,FBgn0010015,CanA1
